Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2020-09-26 16:37:27,EQUIP,HEAVY-1,500/500/500/500,FAIRY,6,Taunt Fairy,★
2020-09-26 17:09:47,EQUIP,HEAVY-1,500/500/500/500,CLOAK,89,Urban Camouflage Cape,★★★★
2020-09-26 17:09:47,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,65,AC3 Suppressor,★★★★
2020-09-26 17:09:47,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,4,VFL 6-24X56,★★★★★
2020-09-26 17:49:21,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,★★★
2020-09-26 18:00:29,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,★★★
2020-09-26 18:00:29,EQUIP,HEAVY-1,500/500/500/500,HOLO,7,EOT 516,★★★★
2020-09-26 18:20:38,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,4,VFL 6-24X56,★★★★★
2020-09-26 18:30:17,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,★★★
2020-09-26 19:08:55,EQUIP,HEAVY-1,500/500/500/500,ARMORPLATE,42,Type 1 Armor Plate,★★★
2020-09-26 19:08:55,EQUIP,HEAVY-1,500/500/500/500,ARMORPLATE,42,Type 1 Armor Plate,★★★
2020-09-26 19:08:55,EQUIP,HEAVY-1,500/500/500/500,FAIRY,6,Taunt Fairy,★
2020-09-26 19:09:04,EQUIP,HEAVY-1,500/500/500/500,HOLO,7,EOT 516,★★★★
2020-09-26 19:35:24,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,★★★
2020-09-26 19:35:27,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,★★★
2020-09-26 19:47:55,EQUIP,HEAVY-1,500/500/500/500,FAIRY,2,Fury Fairy,★
2020-09-26 19:48:03,EQUIP,HEAVY-1,500/500/500/500,FAIRY,8,Artillery Fairy,★
2020-09-26 19:48:11,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,3,PSO-1,★★★★
2020-09-26 20:07:25,EQUIP,HEAVY-2,2000/500/2000/1000,HOLO,7,EOT 516,★★★★
2020-09-26 20:07:25,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,7,Sniper Fairy,★
2020-09-26 20:07:34,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,2,Fury Fairy,★
2020-09-26 20:07:43,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,17,Illumination Fairy,★
2020-09-26 20:08:01,EQUIP,HEAVY-2,500/500/500/500,REDDOT,11,COG M150,★★★★
2020-09-26 20:26:55,EQUIP,HEAVY-2,500/500/500/500,FAIRY,24,Barrier Fairy,★
2020-09-26 20:27:06,EQUIP,HEAVY-2,500/500/500/500,REDDOT,12,ITI MARS,★★★★★
2020-09-26 20:50:56,EQUIP,HEAVY-2,500/500/500/500,TEXO,39,IOP T3 Exoskeleton,★★★★
2020-09-26 20:50:56,EQUIP,HEAVY-2,500/500/500/500,FAIRY,25,Twin Fairies,★
2020-09-26 20:51:05,EQUIP,HEAVY-2,500/500/500/500,FAIRY,8,Artillery Fairy,★
2020-09-26 20:51:16,EQUIP,HEAVY-2,500/500/500/500,REDDOT,11,COG M150,★★★★
2020-09-26 21:33:11,EQUIP,HEAVY-2,500/500/500/500,ARMORPLATE,43,Type 2 Armor Plate,★★★★
2020-09-26 21:33:11,EQUIP,HEAVY-2,500/500/500/500,FAIRY,8,Artillery Fairy,★
2020-09-26 21:33:11,EQUIP,HEAVY-2,500/500/500/500,HOLO,7,EOT 516,★★★★
2020-09-26 21:33:20,EQUIP,HEAVY-2,500/500/500/500,XEXO,57,IOP X3 Exoskeleton,★★★★
2020-09-26 22:18:57,GUN,NORMAL,30/30/30/30,HG,99,Gr Mk23,★★★★
